act_symbol,date,period,sales,cost_of_goods,gross_profit,selling_administrative_depreciation_amortization_expenses,income_after_depreciation_and_amortization,non_operating_income,interest_expense,pretax_income,income_taxes,minority_interest,investment_gains,other_income,income_from_continuing_operations,extras_and_discontinued_operations,net_income,income_before_depreciation_and_amortization,depreciation_and_amortization,average_shares,diluted_eps_before_non_recurring_items,diluted_net_eps
AA,2020-03-31,Quarter,2381000000,2025000000,356000000,239000000,117000000,132000000,30000000,219000000,80000000,59000000,0,0,139000000,0,80000000,,,186610000,-0.23,0.43
AA,2020-06-30,Quarter,2148000000,1932000000,216000000,238000000,-22000000,-51000000,32000000,-105000000,45000000,47000000,0,0,-150000000,0,-197000000,,,185920000,-0.02,-1.06
AA,2020-09-30,Quarter,2365000000,2038000000,327000000,219000000,108000000,-45000000,41000000,22000000,42000000,29000000,0,0,-20000000,0,-49000000,,,185920000,-1.17,-0.26
AA,2020-12-31,Quarter,2392000000,1974000000,418000000,294000000,124000000,-44000000,43000000,37000000,20000000,21000000,0,0,17000000,0,-4000000,,,185950000,0.26,-0.02
AA,2021-03-31,Quarter,2870000000,2292000000,578000000,248000000,330000000,24000000,42000000,312000000,93000000,44000000,0,0,219000000,0,175000000,,,188820000,0.79,0.93
AA,2021-06-30,Quarter,2833000000,2156000000,677000000,254000000,423000000,105000000,67000000,461000000,111000000,41000000,0,0,350000000,0,309000000,,,190200000,1.49,1.63
AA,2021-09-30,Quarter,3109000000,2322000000,787000000,250000000,537000000,18000000,58000000,497000000,127000000,33000000,0,0,370000000,0,337000000,,,190820000,2.05,1.76
AA,2021-12-31,Quarter,3340000000,2383000000,957000000,1298000000,-341000000,298000000,28000000,-71000000,298000000,23000000,0,0,-369000000,0,-392000000,,,185660000,2.50,-2.06
AA,2022-03-31,Quarter,3293000000,2181000000,1112000000,338000000,774000000,14000000,25000000,763000000,210000000,84000000,0,0,553000000,0,469000000,,,188540000,3.06,2.49
AA,2022-06-30,Quarter,3644000000,2767000000,877000000,145000000,732000000,206000000,30000000,908000000,234000000,125000000,0,0,674000000,0,549000000,,,186070000,2.67,2.95
AA,2022-09-30,Quarter,2851000000,2668000000,183000000,852000000,-669000000,-35000000,25000000,-729000000,40000000,-23000000,0,0,-769000000,0,-746000000,,,178780000,-0.33,-4.17
AA,2022-12-31,Quarter,2663000000,2596000000,67000000,214000000,-147000000,-46000000,26000000,-219000000,180000000,-25000000,0,0,-399000000,0,-374000000,,,176950000,-0.70,-2.12
AA,2023-03-31,Quarter,2670000000,2404000000,266000000,366000000,-100000000,-54000000,26000000,-180000000,52000000,-1000000,0,0,-232000000,0,-231000000,,,178010000,-0.23,-1.30
AA,2023-06-30,Quarter,2684000000,2515000000,169000000,235000000,-66000000,-6000000,27000000,-99000000,22000000,-19000000,0,0,-121000000,0,-102000000,,,178400000,-0.35,-0.57
AA,2023-09-30,Quarter,2602000000,2469000000,133000000,250000000,-117000000,-85000000,26000000,-228000000,-35000000,-25000000,0,0,-193000000,0,-168000000,,,178440000,-1.14,-0.94
AA,2023-12-31,Quarter,2595000000,2425000000,170000000,230000000,-60000000,11000000,28000000,-77000000,150000000,-77000000,0,0,-227000000,0,-150000000,,,178470000,-0.56,-0.84
AA,2024-03-31,Quarter,2599000000,2404000000,195000000,434000000,-239000000,-59000000,27000000,-325000000,-18000000,-55000000,0,0,-307000000,0,-252000000,,,179290000,-0.81,-1.41
AA,2024-06-30,Quarter,2906000000,2533000000,373000000,263000000,110000000,22000000,40000000,92000000,61000000,11000000,0,0,31000000,0,20000000,,,181060000,0.16,0.11
AA,2024-09-30,Quarter,2904000000,2393000000,511000000,271000000,240000000,-12000000,44000000,184000000,86000000,8000000,0,0,98000000,0,90000000,,,233600000,0.57,0.38
AA,2024-12-31,Quarter,3486000000,2714000000,772000000,347000000,425000000,-42000000,45000000,338000000,136000000,0,0,0,202000000,0,202000000,,,260460000,1.04,1.18
AA,2025-03-31,Quarter,3369000000,2438000000,931000000,236000000,695000000,26000000,53000000,668000000,120000000,0,0,0,548000000,0,548000000,,,260370000,2.15,2.07
AA,2025-06-30,Quarter,3018000000,2652000000,366000000,261000000,105000000,112000000,56000000,161000000,10000000,-13000000,0,0,151000000,0,164000000,,,260350000,0.39,0.62
AA,2025-09-30,Quarter,2995000000,2695000000,300000000,1134000000,-834000000,1034000000,33000000,167000000,-51000000,-14000000,0,0,218000000,0,232000000,,,260890000,-0.02,0.88
AAPL,2020-03-31,Quarter,58313000000,35943000000,22370000000,9517000000,12853000000,282000000,0,13135000000,1886000000,0,0,0,11249000000,0,11249000000,,,17618760000,0.64,0.64
AAPL,2020-06-30,Quarter,59685000000,37005000000,22680000000,9589000000,13091000000,46000000,0,13137000000,1884000000,0,0,0,11253000000,0,11253000000,,,17419150000,0.65,0.65
AAPL,2020-09-30,Quarter,64698000000,40009000000,24689000000,9914000000,14775000000,126000000,0,14901000000,2228000000,0,0,0,12673000000,0,12673000000,,,17256520000,0.73,0.75
AAPL,2020-12-31,Quarter,111439000000,67111000000,44328000000,10794000000,33534000000,45000000,0,33579000000,4824000000,0,0,0,28755000000,0,28755000000,,,17113690000,1.68,1.68
AAPL,2021-03-31,Quarter,89584000000,51505000000,38079000000,10576000000,27503000000,508000000,0,28011000000,4381000000,0,0,0,23630000000,0,23630000000,,,16929160000,1.40,1.40
AAPL,2021-06-30,Quarter,81434000000,46179000000,35255000000,11129000000,24126000000,243000000,0,24369000000,2625000000,0,0,0,21744000000,0,21744000000,,,16781730000,1.30,1.30
AAPL,2021-09-30,Quarter,83360000000,48186000000,35174000000,11388000000,23786000000,-538000000,0,23248000000,2697000000,0,0,0,20551000000,0,20551000000,,,16635100000,1.24,1.23
AAPL,2021-12-31,Quarter,123945000000,69702000000,54243000000,12755000000,41488000000,-247000000,0,41241000000,6611000000,0,0,0,34630000000,0,34630000000,,,16519290000,2.10,2.10
AAPL,2022-03-31,Quarter,97278000000,54719000000,42559000000,12580000000,29979000000,160000000,0,30139000000,5129000000,0,0,0,25010000000,0,25010000000,,,16403320000,1.52,1.52
AAPL,2022-06-30,Quarter,82959000000,47074000000,35885000000,12809000000,23076000000,-10000000,0,23066000000,3624000000,0,0,0,19442000000,0,19442000000,,,16262200000,1.20,1.20
AAPL,2022-09-30,Quarter,90146000000,52051000000,38095000000,13201000000,24894000000,-237000000,0,24657000000,3936000000,0,0,0,20721000000,0,20721000000,,,16118460000,1.29,1.29
AAPL,2022-12-31,Quarter,117154000000,66822000000,50332000000,14316000000,36016000000,-393000000,0,35623000000,5625000000,0,0,0,29998000000,0,29998000000,,,15955720000,1.88,1.88
AAPL,2023-03-31,Quarter,94836000000,52860000000,41976000000,13658000000,28318000000,64000000,0,28382000000,4222000000,0,0,0,24160000000,0,24160000000,,,15847050000,1.52,1.52
AAPL,2023-06-30,Quarter,81797000000,45384000000,36413000000,13415000000,22998000000,-265000000,0,22733000000,2852000000,0,0,0,19881000000,0,19881000000,,,15775020000,1.26,1.26
AAPL,2023-09-30,Quarter,89498000000,49071000000,40427000000,13458000000,26969000000,29000000,0,26998000000,4042000000,0,0,0,22956000000,0,22956000000,,,15672400000,1.46,1.47
AAPL,2023-12-31,Quarter,119575000000,64720000000,54855000000,14482000000,40373000000,-50000000,0,40323000000,6407000000,0,0,0,33916000000,0,33916000000,,,15576640000,2.18,2.18
AAPL,2024-03-31,Quarter,90753000000,48482000000,42271000000,14371000000,27900000000,158000000,0,28058000000,4422000000,0,0,0,23636000000,0,23636000000,,,15464710000,1.53,1.53
AAPL,2024-06-30,Quarter,85777000000,46099000000,39678000000,14326000000,25352000000,142000000,0,25494000000,4046000000,0,0,0,21448000000,0,21448000000,,,15348170000,1.40,1.40
AAPL,2024-09-30,Quarter,94930000000,51051000000,43879000000,14288000000,29591000000,19000000,0,29610000000,14874000000,0,0,0,14736000000,0,14736000000,,,15242850000,1.64,0.97
AAPL,2024-12-31,Quarter,124300000000,66025000000,58275000000,15443000000,42832000000,-248000000,0,42584000000,6254000000,0,0,0,36330000000,0,36330000000,,,15150870000,2.40,2.40
AAPL,2025-03-31,Quarter,95359000000,50492000000,44867000000,15278000000,29589000000,-279000000,0,29310000000,4530000000,0,0,0,24780000000,0,24780000000,,,15056130000,1.65,1.65
AAPL,2025-06-30,Quarter,94036000000,50318000000,43718000000,15516000000,28202000000,-171000000,0,28031000000,4597000000,0,0,0,23434000000,0,23434000000,,,14948180000,1.57,1.57
AAPL,2025-09-30,Quarter,102466000000,54125000000,48341000000,15914000000,32427000000,377000000,0,32804000000,5338000000,0,0,0,27466000000,0,27466000000,,,14863610000,1.85,1.84
ABBV,2020-03-31,Quarter,8619000000,1942000000,6677000000,3074000000,3603000000,-77000000,428000000,3098000000,88000000,0,0,0,3010000000,0,3010000000,,,1484000000,2.42,2.02
ABBV,2020-06-30,Quarter,10425000000,3711000000,6714000000,5962000000,752000000,-831000000,614000000,-693000000,46000000,-1000000,0,0,-739000000,0,-738000000,,,1647000000,2.34,-0.46
ABBV,2020-09-30,Quarter,12902000000,5050000000,7852000000,4597000000,3255000000,-135000000,620000000,2500000000,187000000,5000000,0,0,2313000000,0,2308000000,,,1774000000,2.83,1.29
ABBV,2020-12-31,Quarter,13858000000,4684000000,9174000000,5421000000,3753000000,-4642000000,618000000,-1507000000,-1545000000,2000000,0,0,38000000,0,36000000,,,1776000000,2.92,-0.13
ABBV,2021-03-31,Quarter,13010000000,4213000000,8797000000,4694000000,4103000000,386000000,622000000,3867000000,312000000,2000000,0,0,3555000000,0,3553000000,,,1775000000,2.95,1.99
ABBV,2021-06-30,Quarter,13959000000,4523000000,9436000000,4995000000,4441000000,-2672000000,606000000,1163000000,394000000,3000000,0,0,769000000,0,766000000,,,1776000000,3.11,0.42
ABBV,2021-09-30,Quarter,14342000000,4390000000,9952000000,5646000000,4306000000,-33000000,585000000,3688000000,508000000,1000000,0,0,3180000000,0,3179000000,,,1777000000,3.33,1.78
ABBV,2021-12-31,Quarter,14886000000,4320000000,10566000000,5492000000,5074000000,-232000000,571000000,4271000000,226000000,1000000,0,0,4045000000,0,4044000000,,,1778000000,3.31,2.26
ABBV,2022-03-31,Quarter,13538000000,4052000000,9486000000,4769000000,4717000000,751000000,539000000,4929000000,436000000,3000000,0,0,4493000000,0,4490000000,,,1778000000,3.16,2.51
ABBV,2022-06-30,Quarter,14583000000,4170000000,10413000000,7118000000,3295000000,-1580000000,532000000,1183000000,255000000,4000000,0,0,928000000,0,924000000,,,1776000000,3.51,0.51
ABBV,2022-09-30,Quarter,14812000000,5022000000,9790000000,5187000000,4603000000,294000000,497000000,4400000000,448000000,3000000,0,0,3952000000,0,3949000000,,,1776000000,3.66,2.21
ABBV,2022-12-31,Quarter,15121000000,4170000000,10951000000,5449000000,5502000000,-2061000000,476000000,2965000000,493000000,-1000000,0,0,2472000000,0,2473000000,,,1778000000,3.60,1.38
ABBV,2023-03-31,Quarter,12225000000,3986000000,8239000000,5471000000,2768000000,-1839000000,454000000,475000000,234000000,2000000,0,0,241000000,0,239000000,,,1776000000,2.46,0.13
ABBV,2023-06-30,Quarter,13865000000,4240000000,9625000000,5112000000,4513000000,-1449000000,454000000,2610000000,583000000,3000000,0,0,2027000000,0,2024000000,,,1771000000,2.91,1.14
ABBV,2023-09-30,Quarter,13927000000,6485000000,7442000000,5161000000,2281000000,70000000,398000000,1953000000,172000000,3000000,0,0,1781000000,0,1778000000,,,1771000000,2.95,1.00
ABBV,2023-12-31,Quarter,14301000000,5704000000,8597000000,5402000000,3195000000,-1605000000,378000000,1212000000,388000000,2000000,0,0,824000000,0,822000000,,,1772000000,2.79,0.45
ABBV,2024-03-31,Quarter,12310000000,4094000000,8216000000,5418000000,2798000000,-590000000,453000000,1755000000,383000000,3000000,0,0,1372000000,0,1369000000,,,1773000000,2.31,0.77
ABBV,2024-06-30,Quarter,14462000000,4202000000,10260000000,6262000000,3998000000,-1346000000,506000000,2146000000,773000000,3000000,0,0,1373000000,0,1370000000,,,1771000000,2.65,0.77
ABBV,2024-09-30,Quarter,14460000000,4212000000,10248000000,6417000000,3831000000,-1156000000,591000000,2084000000,520000000,3000000,0,0,1564000000,0,1561000000,,,1772000000,3.00,0.88
ABBV,2024-12-31,Quarter,15102000000,4396000000,10706000000,12203000000,-1497000000,-169000000,610000000,-2269000000,-2246000000,-1000000,0,0,-23000000,0,-22000000,,,1769000000,2.16,-0.03
ABBV,2025-03-31,Quarter,13343000000,4002000000,9341000000,5608000000,3733000000,-1445000000,627000000,1661000000,372000000,3000000,0,0,1289000000,0,1286000000,,,1772000000,2.46,0.72
ABBV,2025-06-30,Quarter,15423000000,4346000000,11077000000,6183000000,4894000000,-2662000000,678000000,1554000000,613000000,3000000,0,0,941000000,0,938000000,,,1771000000,2.97,0.52
ABBV,2025-09-30,Quarter,15776000000,5304000000,10472000000,8568000000,1904000000,-523000000,667000000,714000000,526000000,2000000,0,0,188000000,0,186000000,,,1772000000,1.86,0.10
ABNB,2020-12-31,Quarter,859260000,209750000,649520000,3749700000,-3100180000,-828180000,64140000,-3992500000,-104650000,0,0,0,-3887850000,0,-3887850000,,,345760000,-10.88,-11.24
ABNB,2021-03-31,Quarter,886940000,254520000,632420000,1079370000,-446950000,-297050000,421910000,-1165900000,6310000,0,0,0,-1172210000,0,-1172210000,,,600960000,-1.75,-1.95
ABNB,2021-06-30,Quarter,1335200000,294430000,1040770000,1092040000,-51270000,810000,6520000,-56980000,11230000,0,0,0,-68220000,0,-68220000,,,611740000,-0.11,-0.11
ABNB,2021-09-30,Quarter,2237430000,311580000,1925850000,1073880000,851970000,5130000,6650000,850460000,16570000,0,0,0,833890000,0,833890000,,,681920000,1.22,1.22
ABNB,2021-12-31,Quarter,1532200000,295310000,1236890000,1161310000,75580000,-830000,2520000,72220000,17720000,0,0,0,54500000,0,54500000,,,680900000,0.08,0.27
ABNB,2022-03-31,Quarter,1508940000,362620000,1146310000,1151450000,-5140000,2810000,5760000,-8090000,10710000,0,0,0,-18790000,0,-18790000,,,635310000,-0.03,-0.03
ABNB,2022-06-30,Quarter,2104110000,390110000,1714000000,1345180000,368820000,21770000,7480000,383110000,4270000,0,0,0,378840000,0,378840000,,,683540000,0.56,0.56
ABNB,2022-09-30,Quarter,2884410000,401150000,2483260000,1279780000,1203480000,72100000,5680000,1269900000,55610000,0,0,0,1214290000,0,1214290000,,,680060000,1.79,1.79
ABNB,2022-12-31,Quarter,1901550000,345120000,1556430000,1321600000,234830000,114320000,5070000,344080000,25410000,0,0,0,318660000,0,318660000,,,672000000,0.48,0.47
ABNB,2023-03-31,Quarter,1818000000,428000000,1390000000,1395000000,-5000000,139000000,4000000,130000000,13000000,0,0,0,117000000,0,117000000,,,670000000,0.18,0.18
ABNB,2023-06-30,Quarter,2484000000,432000000,2052000000,1529000000,523000000,155000000,2000000,676000000,26000000,0,0,0,650000000,0,650000000,,,665000000,0.98,0.98
ABNB,2023-09-30,Quarter,3397000000,459000000,2938000000,1442000000,1496000000,189000000,6000000,1679000000,-2695000000,0,0,0,4374000000,0,4374000000,,,660000000,2.39,6.63
ABNB,2023-12-31,Quarter,2218000000,384000000,1834000000,2330000000,-496000000,184000000,71000000,-383000000,-34000000,0,0,0,-349000000,0,-349000000,,,640000000,0.76,-0.55
ABNB,2024-03-31,Quarter,2142000000,480000000,1662000000,1561000000,101000000,192000000,0,293000000,29000000,0,0,0,264000000,0,264000000,,,654000000,0.41,0.41
ABNB,2024-06-30,Quarter,2748000000,506000000,2242000000,1745000000,497000000,184000000,0,681000000,126000000,0,0,0,555000000,0,555000000,,,649000000,0.86,0.86
ABNB,2024-09-30,Quarter,3732000000,465000000,3267000000,1742000000,1525000000,210000000,0,1735000000,367000000,0,0,0,1368000000,0,1368000000,,,642000000,2.13,2.13
ABNB,2024-12-31,Quarter,2480000000,427000000,2053000000,1623000000,430000000,192000000,0,622000000,161000000,0,0,0,461000000,0,461000000,,,636000000,0.73,0.71
ABNB,2025-03-31,Quarter,2272000000,506000000,1766000000,1728000000,38000000,-38000000,-173000000,173000000,19000000,0,0,0,154000000,0,154000000,,,632000000,0.24,0.24
ABNB,2025-06-30,Quarter,3096000000,544000000,2552000000,1940000000,612000000,167000000,0,779000000,137000000,0,0,0,642000000,0,642000000,,,626000000,1.03,1.03
ABNB,2025-09-30,Quarter,4095000000,549000000,3546000000,1921000000,1625000000,167000000,0,1792000000,418000000,0,0,0,1374000000,0,1374000000,,,621000000,2.21,2.21
ADBE,2020-02-29,Quarter,3091000000,452000000,2639000000,1702000000,937000000,15000000,33000000,919000000,-36000000,0,0,0,955000000,0,955000000,,,488000000,1.93,1.96
ADBE,2020-05-31,Quarter,3128000000,415000000,2713000000,1697000000,1016000000,12000000,28000000,1000000000,-100000000,0,0,0,1100000000,0,1100000000,,,485000000,2.08,2.27
ADBE,2020-08-31,Quarter,3225000000,427000000,2798000000,1729000000,1069000000,19000000,28000000,1060000000,105000000,0,0,0,955000000,0,955000000,,,485000000,2.12,1.97
ADBE,2020-11-30,Quarter,3424000000,428000000,2996000000,1781000000,1215000000,9000000,27000000,1197000000,-1053000000,0,0,0,2250000000,0,2250000000,,,484000000,2.42,4.63
ADBE,2021-02-28,Quarter,3905000000,447000000,3458000000,2004000000,1454000000,9000000,30000000,1433000000,172000000,0,0,0,1261000000,0,1261000000,,,483000000,2.64,2.61
ADBE,2021-05-31,Quarter,3835000000,444000000,3391000000,1985000000,1406000000,8000000,28000000,1386000000,270000000,0,0,0,1116000000,0,1116000000,,,481000000,2.56,2.32
ADBE,2021-08-31,Quarter,3935000000,467000000,3468000000,2027000000,1441000000,4000000,27000000,1418000000,206000000,0,0,0,1212000000,0,1212000000,,,481000000,2.65,2.52
ADBE,2021-11-30,Quarter,4110000000,507000000,3603000000,2102000000,1501000000,-4000000,28000000,1468000000,235000000,0,0,0,1233000000,0,1233000000,,,480000000,2.77,2.57
ADBE,2022-02-28,Quarter,4262000000,512000000,3750000000,2170000000,1580000000,-9000000,28000000,1543000000,277000000,0,0,0,1266000000,0,1266000000,,,475000000,2.84,2.66
ADBE,2022-05-31,Quarter,4386000000,539000000,3847000000,2318000000,1529000000,-9000000,28000000,1492000000,314000000,0,0,0,1178000000,0,1178000000,,,473000000,2.70,2.49
ADBE,2022-08-31,Quarter,4433000000,546000000,3887000000,2403000000,1484000000,0,28000000,1456000000,320000000,0,0,0,1136000000,0,1136000000,,,469000000,2.63,2.42
ADBE,2022-11-30,Quarter,4525000000,568000000,3957000000,2452000000,1505000000,40000000,28000000,1517000000,341000000,0,0,0,1176000000,0,1176000000,,,466000000,2.78,2.53
ADBE,2023-02-28,Quarter,4655000000,568000000,4087000000,2501000000,1586000000,44000000,32000000,1598000000,351000000,0,0,0,1247000000,0,1247000000,,,460000000,2.97,2.71
ADBE,2023-05-31,Quarter,4816000000,572000000,4244000000,2620000000,1624000000,52000000,26000000,1650000000,355000000,0,0,0,1295000000,0,1295000000,,,459000000,3.04,2.82
ADBE,2023-08-31,Quarter,4890000000,580000000,4310000000,2613000000,1697000000,73000000,27000000,1743000000,340000000,0,0,0,1403000000,0,1403000000,,,459000000,3.26,3.05
ADBE,2023-11-30,Quarter,5048000000,634000000,4414000000,2671000000,1743000000,93000000,28000000,1808000000,325000000,0,0,0,1483000000,0,1483000000,,,459000000,3.52,3.24
ADBE,2024-02-29,Quarter,5182000000,590000000,4592000000,3685000000,907000000,88000000,27000000,968000000,348000000,0,0,0,620000000,0,620000000,,,456000000,3.53,1.36
ADBE,2024-05-31,Quarter,5309000000,598000000,4711000000,2826000000,1885000000,86000000,41000000,1930000000,357000000,0,0,0,1573000000,0,1573000000,,,451000000,3.63,3.49
ADBE,2024-08-31,Quarter,5408000000,554000000,4854000000,2862000000,1992000000,101000000,51000000,2042000000,358000000,0,0,0,1684000000,0,1684000000,,,448000000,3.81,3.76
ADBE,2024-11-30,Quarter,5606000000,616000000,4990000000,3033000000,1957000000,84000000,50000000,1991000000,308000000,0,0,0,1683000000,0,1683000000,,,443000000,4.07,3.75
ADBE,2025-02-28,Quarter,5714000000,622000000,5092000000,2929000000,2163000000,81000000,62000000,2182000000,371000000,0,0,0,1811000000,0,1811000000,,,438000000,4.28,4.14
ADBE,2025-05-31,Quarter,5873000000,638000000,5235000000,3126000000,2109000000,60000000,68000000,2101000000,410000000,0,0,0,1691000000,0,1691000000,,,429000000,4.10,3.94
ADBE,2025-08-31,Quarter,5988000000,642000000,5346000000,3173000000,2173000000,81000000,67000000,2187000000,415000000,0,0,0,1772000000,0,1772000000,,,424000000,4.29,4.18
ADP,2020-03-31,Quarter,4047800000,2239100000,1808700000,756600000,1052100000,44600000,20000000,1076700000,255800000,0,0,0,820900000,0,820900000,,,431800000,1.92,1.90
ADP,2020-06-30,Quarter,3376800000,2067100000,1309700000,765600000,544100000,2800000,15600000,531300000,119700000,0,0,0,411600000,0,411600000,,,428650000,1.14,0.96
ADP,2020-09-30,Quarter,3470700000,2034300000,1436400000,681000000,755400000,24900000,15100000,765200000,163100000,0,0,0,602100000,0,602100000,,,430000000,1.41,1.40
ADP,2020-12-31,Quarter,3695700000,2122400000,1573300000,755800000,817500000,29000000,13900000,832600000,185100000,0,0,0,647500000,0,647500000,,,429000000,1.52,1.51
ADP,2021-03-31,Quarter,4102000000,2278100000,1823900000,763000000,1060900000,18800000,13500000,1066200000,255500000,0,0,0,810700000,0,810700000,,,427700000,1.89,1.90
ADP,2021-06-30,Quarter,3737000000,2205500000,1531500000,840700000,690800000,23600000,17200000,697200000,159000000,0,0,0,538200000,0,538200000,,,425900000,1.20,1.26
ADP,2021-09-30,Quarter,3832300000,2222600000,1609700000,719200000,890500000,28800000,18500000,900800000,200300000,0,0,0,700500000,0,700500000,,,423800000,1.65,1.65
ADP,2021-12-31,Quarter,4025400000,2341200000,1684200000,782300000,901900000,26600000,18400000,910100000,215700000,0,0,0,694400000,0,694400000,,,422000000,1.65,1.65
ADP,2022-03-31,Quarter,4513000000,2512200000,2000800000,817500000,1183300000,25000000,18400000,1189900000,261400000,0,0,0,928500000,0,928500000,,,420200000,2.21,2.21
ADP,2022-06-30,Quarter,4127600000,2385900000,1741700000,914200000,827500000,2400000,26600000,803300000,177800000,0,0,0,625500000,0,625500000,,,418200000,1.50,1.49
ADP,2022-09-30,Quarter,4215600000,2393600000,1822000000,800300000,1021700000,39500000,51200000,1010000000,231000000,0,0,0,779000000,0,779000000,,,416900000,1.86,1.87
ADP,2022-12-31,Quarter,4391000000,2450700000,1940300000,855700000,1084600000,30500000,57000000,1058100000,245000000,0,0,0,813100000,0,813100000,,,416200000,1.96,1.95
ADP,2023-03-31,Quarter,4927800000,2623800000,2304000000,938000000,1366000000,36300000,38300000,1364000000,320900000,0,0,0,1043100000,0,1043100000,,,415500000,2.52,2.51
ADP,2023-06-30,Quarter,4477800000,2485300000,1992500000,957400000,1035100000,77200000,106800000,1005500000,228700000,0,0,0,776800000,0,776800000,,,414300000,1.89,1.88
ADP,2023-09-30,Quarter,4512400000,2515400000,1997000000,880300000,1116700000,67700000,91600000,1092800000,233400000,0,0,0,859400000,0,859400000,,,413600000,2.08,2.08
ADP,2023-12-31,Quarter,4668000000,2561600000,2106400000,922500000,1183900000,64800000,104900000,1143800000,265400000,0,0,0,878400000,0,878400000,,,412500000,2.13,2.13
ADP,2024-03-31,Quarter,5253800000,2768200000,2485600000,940900000,1544700000,64300000,62700000,1546300000,361400000,0,0,0,1184900000,0,1184900000,,,412100000,2.88,2.88
ADP,2024-06-30,Quarter,4768400000,2631500000,2136900000,1035200000,1101700000,89900000,102200000,1089400000,260100000,0,0,0,829300000,0,829300000,,,410600000,2.09,2.01
ADP,2024-09-30,Quarter,4832700000,2633700000,2199000000,926700000,1272300000,101700000,137800000,1236200000,279900000,0,0,0,956300000,0,956300000,,,409500000,2.33,2.34
ADP,2024-12-31,Quarter,5048400000,2742500000,2305900000,1006100000,1299800000,91100000,129600000,1261300000,298100000,0,0,0,963200000,0,963200000,,,409000000,2.35,2.35
ADP,2025-03-31,Quarter,5553000000,2904200000,2648800000,1015800000,1633000000,63700000,74800000,1621900000,372400000,0,0,0,1249500000,0,1249500000,,,408500000,3.06,3.06
ADP,2025-06-30,Quarter,5126800000,2816900000,2309900000,1103100000,1206800000,97600000,113700000,1190700000,280000000,0,0,0,910700000,0,910700000,,,410700000,2.26,2.23
ADP,2025-09-30,Quarter,5175200000,2836100000,2339100000,1006300000,1332800000,110100000,135400000,1307500000,294500000,0,0,0,1013000000,0,1013000000,,,406500000,2.49,2.49
AFRM,2020-12-31,Quarter,204040000,70500000,133550000,165260000,-31710000,240000,0,-31480000,80000,0,0,0,-31560000,0,-31560000,,,70800000,-0.45,-0.45
AFRM,2021-03-31,Quarter,230670000,134730000,95940000,265390000,-169450000,-77770000,0,-247230000,-70000,0,0,0,-247160000,0,-247160000,,,233310000,-0.72,-1.06
AFRM,2021-06-30,Quarter,261780000,119710000,142070000,275470000,-133400000,-5980000,0,-139380000,-2450000,0,0,0,-136930000,0,-136930000,,,267280000,-0.48,-0.74
AFRM,2021-09-30,Quarter,269390000,119970000,149420000,315490000,-166070000,-140370000,0,-306440000,170000,0,0,0,-306620000,0,-306620000,,,271680000,-0.40,-1.13
AFRM,2021-12-31,Quarter,361010000,154540000,206470000,402670000,-196200000,36740000,0,-159460000,280000,0,0,0,-159740000,0,-159740000,,,281530000,-0.57,-0.57
AFRM,2022-03-31,Quarter,354760000,169490000,185280000,411830000,-226550000,172140000,0,-54410000,260000,0,0,0,-54670000,0,-54670000,,,285640000,-0.19,-0.19
AFRM,2022-06-30,Quarter,364130000,202160000,161970000,439200000,-277230000,72710000,0,-204520000,-18120000,0,0,0,-186400000,0,-186400000,,,288110000,-0.65,-0.62
AFRM,2022-09-30,Quarter,361620000,224390000,137240000,424710000,-287470000,36020000,0,-251450000,-180000,0,0,0,-251270000,0,-251270000,,,290930000,-0.86,-0.86
AFRM,2022-12-31,Quarter,399560000,267010000,132550000,492080000,-359530000,35530000,0,-324010000,-1570000,0,0,0,-322440000,0,-322440000,,,293680000,-1.10,-1.10
AFRM,2023-03-31,Quarter,380980000,278210000,102770000,412800000,-310030000,103520000,0,-206510000,-840000,0,0,0,-205680000,0,-205680000,,,294210000,-0.69,-0.69
AFRM,2023-06-30,Quarter,445830000,286570000,159250000,403080000,-243830000,36550000,0,-207280000,-1320000,0,0,0,-205960000,0,-205960000,,,299640000,-0.69,-0.69
AFRM,2023-09-30,Quarter,496550000,282570000,213980000,423430000,-209450000,38710000,0,-170740000,1040000,0,0,0,-171780000,0,-171780000,,,303840000,-0.57,-0.57
AFRM,2023-12-31,Quarter,591110000,294650000,296460000,468610000,-172150000,4550000,0,-167600000,-700000,0,0,0,-166900000,0,-166900000,,,307570000,-0.20,-0.54
AFRM,2024-03-31,Quarter,576160000,303490000,272670000,433460000,-160790000,27740000,0,-133050000,890000,0,0,0,-133940000,0,-133940000,,,312630000,-0.43,-0.43
AFRM,2024-06-30,Quarter,659190000,308650000,350530000,423990000,-73460000,29320000,0,-44140000,1000000,0,0,0,-45140000,0,-45140000,,,315480000,-0.14,-0.13
AFRM,2024-09-30,Quarter,698480000,333580000,364900000,497520000,-132620000,34300000,0,-98320000,1900000,0,0,0,-100220000,0,-100220000,,,318240000,-0.31,-0.31
AFRM,2024-12-31,Quarter,866380000,371940000,494450000,498770000,-4320000,87180000,0,82860000,2500000,0,0,0,80360000,0,80360000,,,345200000,0.23,0.23
AFRM,2025-03-31,Quarter,783140000,378650000,404490000,412880000,-8390000,13740000,0,5350000,2540000,0,0,0,2800000,0,2800000,,,344240000,0.01,0.01
AFRM,2025-06-30,Quarter,876420000,388860000,487560000,429490000,58070000,13510000,0,71580000,2340000,0,0,0,69240000,0,69240000,,,342570000,0.20,0.22
