date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2017-10-27,CALD,Current Quarter,2017-09-30,0.08,0.07,8,0.08,0.07,0.08
2017-10-27,CALM,Current Quarter,2017-11-30,,,,,,-0.48
2017-10-27,CALX,Current Quarter,2017-09-30,-0.24,-0.24,5,-0.22,-0.25,0.12
2017-10-27,CAMP,Current Quarter,2017-11-30,0.30,0.30,6,0.30,0.29,0.21
2017-10-27,CAMT,Current Quarter,2017-09-30,0.08,,1,0.08,0.08,0.04
2017-10-27,CAPL,Current Quarter,2017-09-30,0.07,0.11,4,0.11,-0.01,0.06
2017-10-27,CAPR,Current Quarter,2017-09-30,-0.19,,1,-0.19,-0.19,-0.29
2017-10-27,CAR,Current Quarter,2017-09-30,2.95,,4,3.03,2.71,2.47
2017-10-27,CARA,Current Quarter,2017-09-30,-0.31,-0.30,3,-0.30,-0.32,-0.42
2017-10-27,CARB,Current Quarter,2017-09-30,0.21,0.21,5,0.24,0.20,0.14
2017-10-27,CARO,Current Quarter,2017-12-31,0.54,0.54,1,0.54,0.54,0.46
2017-10-27,CASC,Current Quarter,2017-09-30,-0.29,-0.32,2,-0.25,-0.32,-0.54
2017-10-27,CASH,Current Quarter,2017-09-30,-0.30,-0.35,2,-0.25,-0.35,1.03
2017-10-27,CASY,Current Quarter,2017-10-31,1.35,1.40,6,1.42,1.24,1.44
2017-10-27,CAT,Current Quarter,2017-12-31,1.62,1.30,8,1.80,1.16,0.83
2017-10-27,CATB,Current Quarter,2017-09-30,-0.34,,4,-0.31,-0.37,-0.54
2017-10-27,CATM,Current Quarter,2017-09-30,0.87,0.88,8,0.96,0.81,0.98
2017-10-27,CATS,Current Quarter,2017-09-30,-0.16,-0.16,1,-0.16,-0.16,-0.78
2017-10-27,CATY,Current Quarter,2017-12-31,0.62,0.59,4,0.65,0.59,0.60
2017-10-27,CAVM,Current Quarter,2017-09-30,0.74,0.75,10,0.75,0.73,0.43
2017-10-27,CB,Current Quarter,2017-12-31,2.58,-0.46,7,2.78,2.37,2.72
2017-10-27,CBAY,Current Quarter,2017-09-30,-0.19,-0.18,5,-0.17,-0.21,-0.25
2017-10-27,CBB,Current Quarter,2017-09-30,-0.02,0.01,4,0.04,-0.09,0.05
2017-10-27,CBD,Current Quarter,2017-09-30,0.12,,1,0.12,0.12,-0.04
2017-10-27,CBF,Current Quarter,2017-12-31,0.48,0.48,1,0.48,0.48,0.44
2017-10-27,CBFV,Current Quarter,2017-09-30,0.41,0.41,1,0.41,0.41,0.38
2017-10-27,CBG,Current Quarter,2017-09-30,0.54,0.54,4,0.55,0.51,0.50
2017-10-27,CBI,Current Quarter,2017-09-30,0.53,0.47,7,0.62,0.47,1.20
2017-10-27,CBIO,Current Quarter,2017-09-30,,,,,,-6.00
2017-10-27,CBK,Current Quarter,2017-10-31,,,,,,0.09
2017-10-27,CBL,Current Quarter,2017-09-30,0.54,0.54,9,0.55,0.53,-0.05
2017-10-27,CBM,Current Quarter,2017-09-30,0.47,0.48,2,0.48,0.45,0.47
2017-10-27,CBOE,Current Quarter,2017-09-30,0.88,0.88,6,0.89,0.87,0.58
2017-10-27,CBPO,Current Quarter,2017-09-30,1.30,,1,1.30,1.30,1.22
2017-10-27,CBPX,Current Quarter,2017-09-30,0.28,0.27,2,0.29,0.27,0.25
2017-10-27,CBRL,Current Quarter,2017-10-31,1.94,1.92,2,1.95,1.92,2.01
2017-10-27,CBS,Current Quarter,2017-09-30,1.10,1.14,10,1.17,1.06,1.05
2017-10-27,CBSH,Current Quarter,2017-12-31,0.75,0.77,8,0.78,0.73,0.68
2017-10-27,CBT,Current Quarter,2017-09-30,0.93,0.94,6,0.94,0.88,1.00
2017-10-27,CBU,Current Quarter,2017-12-31,0.69,0.69,4,0.70,0.67,0.61
2017-10-27,CBZ,Current Quarter,2017-09-30,0.23,0.23,1,0.23,0.23,0.20
2017-10-27,CC,Current Quarter,2017-09-30,1.01,0.97,2,1.05,0.97,0.61
2017-10-27,CCBG,Current Quarter,2017-12-31,0.23,0.23,1,0.23,0.23,0.20
2017-10-27,CCC,Current Quarter,2017-09-30,0.16,0.16,3,0.17,0.16,0.13
2017-10-27,CCE,Current Quarter,2017-09-30,0.80,0.79,4,0.81,0.79,0.74
2017-10-27,CCI,Current Quarter,2017-12-31,1.07,1.06,7,1.08,1.06,0.35
2017-10-27,CCJ,Current Quarter,2017-09-30,0.10,,1,0.10,0.10,0.23
2017-10-27,CCK,Current Quarter,2017-12-31,0.79,0.77,6,0.80,0.77,0.71
2017-10-27,CCL,Current Quarter,2017-11-30,0.51,0.49,8,0.53,0.49,0.67
2017-10-27,CCLP,Current Quarter,2017-09-30,-0.26,-0.30,4,-0.20,-0.30,-0.47
2017-10-27,CCMP,Current Quarter,2017-12-31,0.91,0.88,1,0.91,0.91,0.92
2017-10-27,CCNE,Current Quarter,2017-12-31,0.43,,1,0.43,0.43,0.35
2017-10-27,CCO,Current Quarter,2017-09-30,-0.06,-0.06,2,-0.06,-0.06,-0.09
2017-10-27,CCOI,Current Quarter,2017-09-30,0.14,0.19,10,0.19,0.09,0.08
2017-10-27,CCRN,Current Quarter,2017-09-30,0.17,0.16,2,0.18,0.16,0.24
2017-10-27,CCS,Current Quarter,2017-09-30,0.40,0.22,4,0.51,0.22,0.63
2017-10-27,CCXI,Current Quarter,2017-09-30,-0.28,,2,-0.24,-0.32,-0.15
2017-10-27,CDE,Current Quarter,2017-12-31,0.06,,2,0.06,0.05,-0.03
2017-10-27,CDK,Current Quarter,2017-09-30,0.66,0.65,5,0.68,0.64,0.60
2017-10-27,CDNA,Current Quarter,2017-09-30,-0.17,,2,-0.15,-0.19,-0.15
2017-10-27,CDNS,Current Quarter,2017-12-31,0.39,0.35,4,0.40,0.38,0.34
2017-10-27,CDOR,Current Quarter,2017-09-30,0.24,0.26,4,0.26,0.22,2.41
2017-10-27,CDR,Current Quarter,2017-09-30,0.13,0.13,5,0.14,0.13,-0.05
2017-10-27,CDTI,Current Quarter,2017-09-30,-0.06,,2,-0.05,-0.07,-0.31
2017-10-27,CDTX,Current Quarter,2017-09-30,-0.97,-0.81,4,-0.81,-1.02,-0.88
2017-10-27,CDW,Current Quarter,2017-09-30,1.07,1.06,7,1.09,1.03,0.97
2017-10-27,CDXC,Current Quarter,2017-09-30,-0.03,,1,-0.03,-0.03,-0.03
